topicId,rank,docId,filename
1,1,1,null-source
1,2,2,null-source
2,1,1,null-source
2,2,2,null-source
3,1,1,null-source
3,2,2,null-source
4,1,1,null-source
4,2,2,null-source
5,1,1,null-source
5,2,2,null-source
6,1,1,null-source
6,2,2,null-source
7,1,1,null-source
7,2,2,null-source
8,1,1,null-source
8,2,2,null-source
9,1,1,null-source
9,2,2,null-source
10,1,1,null-source
10,2,2,null-source
11,1,1,null-source
11,2,2,null-source
12,1,1,null-source
12,2,2,null-source
13,1,1,null-source
13,2,2,null-source
14,1,1,null-source
14,2,2,null-source
15,1,1,null-source
15,2,2,null-source
16,1,1,null-source
16,2,2,null-source
17,1,1,null-source
17,2,2,null-source
18,1,1,null-source
18,2,2,null-source
19,1,1,null-source
19,2,2,null-source
20,1,1,null-source
20,2,2,null-source
21,1,1,null-source
21,2,2,null-source
22,1,1,null-source
22,2,2,null-source
23,1,1,null-source
23,2,2,null-source
24,1,1,null-source
24,2,2,null-source
25,1,1,null-source
25,2,2,null-source
