topicId,words..
1,oil warm put rub cure
2,put herb plaster powder gum
3,powder make cure fine put
4,water good time body made
5,water distill flask lb days
6,make morning handful spleen god
7,god womb woman man saint
8,pain warm times tested rub
9,powerful stomach water bad cures
10,ounces wax put unguent oil
11,eat give things cured sickness
12,put vinegar make strong times
13,blood sick stop vein side
14,make brandy clear note distillation
15,put boil fire clean remove
16,stomach fine ounces dram make
17,holy christ god amen son
18,wine put warm long hold
19,make cured horse worms times
20,rub head hair wash make
21,drink give warm wine powder
22,put water juice sleep eyes
23,oil put fire pot made
24,cut fat save white place
25,ounces rose white ounce fire
